path,step,S
3,22,102.522
3,23,104.401
3,24,102.547
3,25,104.677
3,26,106.646
3,27,106.089
3,28,107.065
3,29,107.867
3,30,109.197
3,31,108.124
3,32,107.199
3,33,103.686
3,34,103.622
3,35,105.021
3,36,104.556
3,37,104.87
3,38,104.303
3,39,101.633
3,40,100.377
3,41,98.4463
3,42,95.6804
3,43,94.6245
3,44,93.5775
3,45,93.5636
3,46,94.9277
3,47,94.7821
3,48,95.9429
3,49,96.3986
3,50,95.5971
3,51,94.8211
3,52,95.4366
3,53,95.0958
3,54,96.4534
3,55,96.4263
3,56,97.13
3,57,98.4129
3,58,93.9541
3,59,93.5857
3,60,96.0477
3,61,95.8999
3,62,96.8882
3,63,95.9152
3,64,94.4
3,65,92.8627
3,66,93.1374
3,67,92.9432
3,68,94.8648
3,69,93.8566
3,70,92.9169
3,71,93.203
3,72,93.8672
3,73,96.2565
3,74,97.3434
3,75,96.3208
3,76,95.1691
3,77,96.8641
3,78,96.3969
3,79,95.8131
3,80,97.7249
3,81,97.809
3,82,96.9782
3,83,96.8197
3,84,96.1861
3,85,96.1509
3,86,94.5172
3,87,92.9945
3,88,91.8625
3,89,91.0278
3,90,92.0929
3,91,92.4374
3,92,89.8221
3,93,90.7
3,94,90.8188
3,95,87.9992
3,96,85.5907
3,97,86.406
3,98,87.9541
3,99,86.3936
3,100,88.3724
4,0,100
4,1,101.302
4,2,100.816
4,3,102.399
4,4,102.663
4,5,102.139
4,6,102.417
4,7,98.5846
4,8,98.5376
4,9,97.6558
4,10,97.9934
4,11,97.5487
4,12,95.5725
4,13,97.4419
4,14,96.8203
4,15,98.7382
4,16,99.9252
4,17,101.797
4,18,100.695
4,19,100.227
4,20,98.3716
4,21,96.4244
4,22,94.3594
4,23,95.3578
4,24,95.6942
4,25,96.9334
4,26,96.6014
4,27,94.9449
4,28,94.4884
4,29,95.7651
4,30,96.3552
4,31,96.9336
4,32,97.6184
4,33,93.6282
4,34,93.9863
4,35,93.8845
4,36,92.6825
4,37,94.065
4,38,94.2926
4,39,97.165
4,40,93.9644
4,41,94.8097
4,42,96.7778
4,43,97.7998
4,44,98.0355
4,45,97.6246
4,46,96.6721
4,47,98.5343
4,48,99.1763
4,49,99.3705
4,50,99.9646
4,51,100.847
4,52,102.266
4,53,103.073
4,54,105.22
4,55,105.307
4,56,106.265
4,57,104.606
4,58,104.412
4,59,108.547
4,60,111.84
4,61,111.281
4,62,113.841
4,63,110.48
4,64,110.367
4,65,112.162
4,66,115.279
4,67,114.665
4,68,114.885
4,69,116.024
4,70,118.634
4,71,121.335
4,72,124.122
4,73,125.332
4,74,125.683
4,75,125.65
4,76,124.988
4,77,125.819
4,78,121.08
4,79,122.303
4,80,123.977
4,81,123.589
4,82,126.175
4,83,124.68
4,84,126.462
4,85,124.998
4,86,126.486
4,87,128.597
4,88,128.543
4,89,127.68
4,90,126.091
4,91,125.333
4,92,127.424
4,93,127.556
4,94,126.971
4,95,126.911
4,96,127.792
4,97,133.572
4,98,131.849
4,99,131.105
4,100,128.394
5,0,100
5,1,97.9141
5,2,97.914
5,3,99.1064
5,4,100.129
5,5,98.7178
5,6,100.753
5,7,103.703
5,8,103.666
5,9,104.535
5,10,103.328
5,11,106.272
5,12,104.162
5,13,103.267
5,14,107.184
5,15,107.029
5,16,108.098
5,17,108.505
5,18,109.492
5,19,110.108
5,20,113.02
5,21,112.925
5,22,115.422
5,23,115.416
5,24,115.309
5,25,116.651
5,26,114.742
5,27,113.829
5,28,114.127
